자치구,온도평균
Yeongdeungpo-gu,28.6
Yeongdeungpo-gu,30.9
Yeongdeungpo-gu,30.1
Yeongdeungpo-gu,28.3
Yeongdeungpo-gu,29.2
Jungnang-gu,
Yeongdeungpo-gu,29.9
Yeongdeungpo-gu,29.5
Yeongdeungpo-gu,29.4
Yeongdeungpo-gu,29.3
Yeongdeungpo-gu,30
Yeongdeungpo-gu,29.9
Yeongdeungpo-gu,28.8
Dongjak-gu,-40
Yeongdeungpo-gu,29.3
Dongjak-gu,24.8
Dongjak-gu,27.3
Gangbuk-gu,26.6
Yeongdeungpo-gu,28.6
Gangbuk-gu,26.6
Gangbuk-gu,27.9
Gangbuk-gu,-40
Gangbuk-gu,29.1
Gangbuk-gu,26.3
Yeongdeungpo-gu,29.8
Gangbuk-gu,27.3
Gangbuk-gu,28.9
Gangbuk-gu,28.4
Gangbuk-gu,28.7
Gangbuk-gu,28.2
Yeongdeungpo-gu,29.1
Gangbuk-gu,25.6
Gangbuk-gu,26.5
Gangbuk-gu,28.6
Gangbuk-gu,29.3
Gangbuk-gu,27.9
Gangbuk-gu,27.7
Gangbuk-gu,27.3
Gangbuk-gu,28.6
Gangbuk-gu,26.2
Gangbuk-gu,29
Gangbuk-gu,26.1
Yongsan-gu,28.9
Yongsan-gu,30
Gangbuk-gu,26.5
Gangbuk-gu,-40
Gangbuk-gu,25.8
Yongsan-gu,29.4
Gangbuk-gu,28.2
Gangbuk-gu,-40
Gangbuk-gu,-40
Gangbuk-gu,-40
Gangbuk-gu,-40
Yongsan-gu,29.4
Yongsan-gu,27.3
Yongsan-gu,28.6
Yongsan-gu,27.5
Gwanak-gu,28.4
Yongsan-gu,
Yongsan-gu,30.7
Yongsan-gu,29.1
Yongsan-gu,28.8
Yongsan-gu,29.4
Yongsan-gu,28.4
Songpa-gu,-40
Yongsan-gu,
Yongsan-gu,28.9
Yongsan-gu,26.9
Yongsan-gu,
Gwanak-gu,29.4
Yongsan-gu,29.2
Yongsan-gu,29
Yongsan-gu,29.5
Gwanak-gu,29.1
Gwanak-gu,29.9
Gwanak-gu,29.4
Gwanak-gu,29.6
Gwanak-gu,27.4
Gwanak-gu,27.1
Gwanak-gu,27.1
Gwanak-gu,
Gwanak-gu,28.2
Gwanak-gu,28.9
Gwanak-gu,26.8
Gwanak-gu,29.7
Jung-gu,29.6
Gwanak-gu,26.1
Gwanak-gu,28.1
Gwanak-gu,28.8
Gwanak-gu,
Gwanak-gu,29.4
Gwanak-gu,29.2
Gwanak-gu,27.2
Gwanak-gu,27.5
Gwanak-gu,27.1
Gwanak-gu,27.9
Gwanak-gu,
Gwanak-gu,30.1
Gwanak-gu,27.4
Gwangjin-gu,27.9
Gwanak-gu,29.1
Gwanak-gu,27.3
Gwanak-gu,29.3
Gwanak-gu,28
Gwanak-gu,28.1
Eunpyeong-gu,29.5
Gwanak-gu,-40
Gwanak-gu,28.5
Gwanak-gu,29.5
Gwanak-gu,28.2
Gwanak-gu,29.2
Gwanak-gu,27.5
Gwanak-gu,26.9
Gwanak-gu,30
Eunpyeong-gu,28.1
Gwangjin-gu,-40
Gwanak-gu,29.1
Eunpyeong-gu,27.2
Eunpyeong-gu,29.6
Yongsan-gu,29.3
Gwangjin-gu,27.4
Eunpyeong-gu,27
Eunpyeong-gu,26.2
Eunpyeong-gu,26.6
Gwangjin-gu,28.9
Eunpyeong-gu,28.7
Eunpyeong-gu,27
Eunpyeong-gu,26.4
Eunpyeong-gu,29
Eunpyeong-gu,26.6
Gwangjin-gu,28
Eunpyeong-gu,26.6
Eunpyeong-gu,28.9
Jongno-gu,28.6
Eunpyeong-gu,26.3
Jongno-gu,30.5
Eunpyeong-gu,27.9
Eunpyeong-gu,28.1
Eunpyeong-gu,23.9
Eunpyeong-gu,26.1
Eunpyeong-gu,-40
Jongno-gu,29.1
Eunpyeong-gu,27.7
Eunpyeong-gu,27.3
Eunpyeong-gu,27.5
Eunpyeong-gu,28.2
Jongno-gu,29.8
Yangcheon-gu,29.4
Eunpyeong-gu,-40
Jongno-gu,28.9
Eunpyeong-gu,
Jongno-gu,28
Jongno-gu,28.2
Jongno-gu,28.5
Jongno-gu,30.6
Jongno-gu,26.8
Jongno-gu,28.6
Jongno-gu,28.3
Jongno-gu,
Jongno-gu,28.5
Jongno-gu,29.4
Jongno-gu,26.6
Jongno-gu,28.6
Jongno-gu,30.3
Jongno-gu,30
Jongno-gu,28.2
Yangcheon-gu,29.5
Jongno-gu,27.4
Jongno-gu,30.1
Jongno-gu,27.8
Jongno-gu,26.6
Jongno-gu,29
Jongno-gu,28.1
Jongno-gu,25.6
Jongno-gu,27.3
Jongno-gu,30.7
Jungnang-gu,29.2
Jongno-gu,28.2
Jongno-gu,28.9
Jongno-gu,-40
Yangcheon-gu,29.3
Jongno-gu,26.4
Jongno-gu,28.4
Jongno-gu,27.4
Jongno-gu,28.9
Yangcheon-gu,29.4
Jungnang-gu,28.9
Jongno-gu,28.5
Jongno-gu,28.3
Jungnang-gu,28.2
Jongno-gu,26.8
Jongno-gu,-40
Jongno-gu,28.1
Jongno-gu,
Jongno-gu,28.5
Jungnang-gu,28.8
Jongno-gu,27.6
Jongno-gu,27.4
Jongno-gu,26.6
Jungnang-gu,29.3
Yangcheon-gu,26.5
Gangdong-gu,28.4
Yangcheon-gu,-40
Gangdong-gu,28
Gangdong-gu,29
Yangcheon-gu,29.3
Jungnang-gu,28.5
Gangdong-gu,27.1
Yangcheon-gu,29.3
Yangcheon-gu,28.8
Jungnang-gu,28.7
Yangcheon-gu,29.7
Yangcheon-gu,27.8
Yangcheon-gu,26.9
Jungnang-gu,29.2
Jungnang-gu,28.7
Jungnang-gu,29
Jungnang-gu,29.1
Yangcheon-gu,30.1
Geumcheon-gu,28.5
Gangdong-gu,
Guro-gu,-40
Gangdong-gu,
Gangdong-gu,28.2
Gangdong-gu,27.3
Gangdong-gu,25.8
Gangdong-gu,
Gangdong-gu,28.8
Yangcheon-gu,-40
Gangdong-gu,28.4
Guro-gu,29.5
Gangdong-gu,28.8
Gangdong-gu,27.5
Gangdong-gu,28.2
Gangdong-gu,28.5
Gangdong-gu,27.6
Guro-gu,-40
Gangdong-gu,28.4
Guro-gu,-40
Geumcheon-gu,29.1
Gangdong-gu,28.2
Gangdong-gu,28.4
Dobong-gu,28.6
Guro-gu,
Guro-gu,29.1
Nowon-gu,27.2
Gangdong-gu,28.8
Guro-gu,28.7
Gangdong-gu,28.1
Geumcheon-gu,26.1
Guro-gu,28.2
Guro-gu,29.7
Geumcheon-gu,28.3
Geumcheon-gu,27.9
Geumcheon-gu,29.5
Geumcheon-gu,29.4
Geumcheon-gu,28.9
Dobong-gu,-40
Nowon-gu,28.7
Dobong-gu,24.8
Geumcheon-gu,27.9
Dobong-gu,27.8
Geumcheon-gu,29.1
Gangseo-gu,-40
Geumcheon-gu,28.7
Geumcheon-gu,30.5
Geumcheon-gu,27.9
Geumcheon-gu,29.6
Geumcheon-gu,28
Geumcheon-gu,28.9
Yangcheon-gu,-40
Geumcheon-gu,28.3
Geumcheon-gu,27.4
Geumcheon-gu,25.8
Geumcheon-gu,29.4
Geumcheon-gu,28.4
Dobong-gu,26.9
Nowon-gu,27.8
Nowon-gu,29.3
Geumcheon-gu,27.1
Nowon-gu,26.4
Nowon-gu,26.7
Nowon-gu,28.9
Nowon-gu,27
Dobong-gu,-40
Nowon-gu,27.5
Nowon-gu,26.5
Dobong-gu,27
Nowon-gu,28
Nowon-gu,28.1
Nowon-gu,28.7
Nowon-gu,27.7
Dobong-gu,27.5
Nowon-gu,27.8
Nowon-gu,28.6
Nowon-gu,24.3
Dobong-gu,18.3
Dobong-gu,20
Nowon-gu,26.8
Nowon-gu,25.3
Nowon-gu,26.1
Gangdong-gu,28.6
Dobong-gu,-40
Gangdong-gu,
Dobong-gu,27.1
Dobong-gu,-40
Gangdong-gu,27.7
Dobong-gu,28.2
Gangdong-gu,27.5
Gangdong-gu,28
Dobong-gu,27.7
Gangseo-gu,27.2
Dobong-gu,24.1
Dobong-gu,-40
Dobong-gu,24.8
Gangdong-gu,27.6
Dobong-gu,26
Gangdong-gu,
Gangseo-gu,
Gangseo-gu,-40
Gangseo-gu,
Gangdong-gu,28.1
Gangdong-gu,28
Gangdong-gu,27.7
Gangseo-gu,28.8
Gangdong-gu,27.9
Gangseo-gu,28.8
Gangdong-gu,-40
Gangseo-gu,-40
Gangseo-gu,29.3
Gangdong-gu,27.8
Gangdong-gu,28.3
Gangseo-gu,
Gangseo-gu,-40
Gangdong-gu,-40
Gangseo-gu,26.2
Gangdong-gu,28.2
Gangseo-gu,28
Gangseo-gu,26.2
Gangdong-gu,28
Gwanak-gu,30.3
Gangseo-gu,29.3
Gangseo-gu,-40
Gangseo-gu,28.9
Gangseo-gu,29.1
Gangseo-gu,-40
Gangseo-gu,27.9
Gwanak-gu,28.8
Gangseo-gu,-40
Gangseo-gu,-40
Gangseo-gu,28
Gangseo-gu,27.5
Gwanak-gu,29.4
Gangseo-gu,-40
Gangseo-gu,28.1
Gangseo-gu,26.7
Gangseo-gu,-40
Gwanak-gu,29.5
Gangdong-gu,26.1
Gwanak-gu,29
Gwanak-gu,27.6
Gwanak-gu,26.8
Gwanak-gu,28.4
Gwanak-gu,
Gwanak-gu,27.4
Gwanak-gu,29
Gwanak-gu,28.8
Gwanak-gu,
Gwanak-gu,27.7
Gwanak-gu,27.5
Gwanak-gu,28.2
Gwanak-gu,26.8
Gwanak-gu,28.1
Gangnam-gu,-40
Gwanak-gu,28.1
Gwanak-gu,27.3
Gwanak-gu,28.1
Gwanak-gu,28.9
Gwanak-gu,
Gangdong-gu,27.3
Nowon-gu,-40
Nowon-gu,28
Nowon-gu,29
Nowon-gu,28.1
Nowon-gu,24.9
Nowon-gu,28
Nowon-gu,27.8
Nowon-gu,27.8
Nowon-gu,25.2
Gwanak-gu,25.8
Nowon-gu,27.4
Dobong-gu,25.7
Nowon-gu,27.6
Gwanak-gu,28.9
Nowon-gu,28.4
Gwanak-gu,26.6
Gwanak-gu,30.6
Nowon-gu,26.6
Gangnam-gu,26.7
Dobong-gu,26.1
Gangnam-gu,29.7
Dobong-gu,28.7
Dobong-gu,28.5
Dobong-gu,28.4
Gangdong-gu,27
Dobong-gu,27.9
Dobong-gu,28.5
Dobong-gu,28
Dobong-gu,26.9
Dobong-gu,26.1
Dobong-gu,25.3
Gangnam-gu,26.8
Dobong-gu,28.8
Gangdong-gu,27.8
Dobong-gu,27.9
Dobong-gu,28.4
Dobong-gu,26.4
Dobong-gu,27.5
Dobong-gu,28.6
Dobong-gu,28.2
Dobong-gu,26.3
Dobong-gu,25.4
Dobong-gu,27.9
Dobong-gu,25.1
Dobong-gu,29.1
Dobong-gu,28.4
Gangdong-gu,27.8
Gangnam-gu,-40
Gangnam-gu,27.1
Gangdong-gu,28.5
Gangnam-gu,28
Gangnam-gu,29
Gangdong-gu,27.8
Gangdong-gu,26.7
Gangdong-gu,27.7
Gangdong-gu,-40
Gangdong-gu,28
Dobong-gu,28.4
Gangdong-gu,28.2
Gangnam-gu,25.5
Dongdaemun-gu,28.8
Gangdong-gu,-40
Gangdong-gu,26.5
Dongdaemun-gu,28.4
Gangdong-gu,26.9
Dongdaemun-gu,29.3
Gangdong-gu,25.7
Gangdong-gu,26.5
Gangdong-gu,-40
Gangdong-gu,-40
Gangdong-gu,-40
Gangdong-gu,27.5
Gangdong-gu,28.8
Gangdong-gu,28.4
Gangdong-gu,26.4
Gangdong-gu,-40
Gangdong-gu,-40
Dongjak-gu,28.1
Gangdong-gu,27.8
Dongdaemun-gu,28.7
Songpa-gu,29.1
Songpa-gu,28.5
Gangdong-gu,26.6
Songpa-gu,29.3
Songpa-gu,28.5
Songpa-gu,29.1
Songpa-gu,29.4
Mapo-gu,-40
Songpa-gu,28.2
Songpa-gu,28.9
Yangcheon-gu,29.7
Songpa-gu,28.7
Songpa-gu,28.8
Mapo-gu,29.3
Mapo-gu,
Mapo-gu,29.7
Mapo-gu,28.1
Mapo-gu,30.2
Yangcheon-gu,28.8
Songpa-gu,29.7
Mapo-gu,30.4
Mapo-gu,27.2
Yangcheon-gu,29.4
Yangcheon-gu,
Mapo-gu,29.7
Yangcheon-gu,29.7
Yangcheon-gu,29.8
Yangcheon-gu,28.2
Yangcheon-gu,29.9
Yangcheon-gu,30.5
Mapo-gu,29.8
Yangcheon-gu,29.1
Yangcheon-gu,28.1
Mapo-gu,28.2
Yangcheon-gu,28
Yangcheon-gu,
Mapo-gu,29.3
Mapo-gu,29.2
Yangcheon-gu,28.1
Mapo-gu,30
Mapo-gu,
Seodaemun-gu,26.2
Yangcheon-gu,28.4
Mapo-gu,29.9
Seodaemun-gu,27.1
Mapo-gu,28.3
Seodaemun-gu,29.7
Mapo-gu,28.6
Mapo-gu,29.3
Seodaemun-gu,25.8
Yangcheon-gu,29.9
Mapo-gu,29.4
Mapo-gu,29.1
Seodaemun-gu,26.1
Gangnam-gu,30
Mapo-gu,28.5
Mapo-gu,28.9
Mapo-gu,29.1
Seodaemun-gu,27
Mapo-gu,27.8
Seodaemun-gu,-40
Seocho-gu,28.2
Seodaemun-gu,29.7
Seodaemun-gu,29.2
Mapo-gu,30.2
Seocho-gu,28.7
Dongjak-gu,29.4
Seodaemun-gu,28.2
Mapo-gu,28.8
Seocho-gu,29.5
Seodaemun-gu,-40
Seocho-gu,28.7
Gangnam-gu,29.2
Seocho-gu,28.9
Gangnam-gu,29.3
Seocho-gu,-40
Gangnam-gu,
Seocho-gu,28.1
Seocho-gu,29
Seocho-gu,27.8
Gangnam-gu,29.3
Gangnam-gu,29.1
Jung-gu,28.4
Jungnang-gu,26.5
Jung-gu,28.3
Jungnang-gu,28.9
Jungnang-gu,28.5
Jungnang-gu,28.3
Jungnang-gu,26.9
Jungnang-gu,26.7
Jungnang-gu,26.7
Jungnang-gu,25.1
Jungnang-gu,27.3
Jung-gu,
Jungnang-gu,28.6
Jungnang-gu,28.4
Jungnang-gu,27.8
Jungnang-gu,25.1
Jungnang-gu,29.3
Jungnang-gu,26.1
Jungnang-gu,28.9
Jung-gu,28.8
Jung-gu,28.8
Jung-gu,28
Jung-gu,29.1
Jung-gu,27.5
Jung-gu,28.9
Jung-gu,28.8
Jung-gu,
Jung-gu,
Jung-gu,28.3
Jung-gu,32.8
Jung-gu,28.5
Jung-gu,29
Jung-gu,29.6
Jung-gu,28.4
Jung-gu,26.9
Jung-gu,32.6
Jung-gu,29.9
Jung-gu,29.5
Jung-gu,28.9
Jung-gu,28.2
Jung-gu,28.4
Songpa-gu,-40
Jung-gu,-40
Jung-gu,27.8
Jung-gu,-40
Jung-gu,28.1
Jung-gu,
Jung-gu,-40
Jung-gu,-40
Jung-gu,27
Jung-gu,
Jung-gu,27.8
Jung-gu,25.7
Yangcheon-gu,28.5
Jung-gu,-40
Jung-gu,29.8
Yangcheon-gu,28.9
Yangcheon-gu,25.8
Jung-gu,-40
Yangcheon-gu,-40
Yeongdeungpo-gu,29.6
Yeongdeungpo-gu,28.6
Yeongdeungpo-gu,29.4
Yangcheon-gu,-40
Yeongdeungpo-gu,28.4
Yeongdeungpo-gu,29.2
Yeongdeungpo-gu,28.4
Yangcheon-gu,27.2
Yeongdeungpo-gu,29.5
Yangcheon-gu,28
Yeongdeungpo-gu,28.6
Yeongdeungpo-gu,30
Yeongdeungpo-gu,29.3
Yangcheon-gu,28.2
Yeongdeungpo-gu,29.3
Yeongdeungpo-gu,29.4
Yeongdeungpo-gu,28.5
Yeongdeungpo-gu,29.1
Yeongdeungpo-gu,28.6
Yeongdeungpo-gu,29.5
Yeongdeungpo-gu,28.5
Yeongdeungpo-gu,29.8
Yeongdeungpo-gu,28.9
Yeongdeungpo-gu,27.6
Yeongdeungpo-gu,29.2
Jungnang-gu,
Yeongdeungpo-gu,29
Yeongdeungpo-gu,28.5
Yeongdeungpo-gu,29.7
Dongjak-gu,-40
Dongjak-gu,27.9
Yeongdeungpo-gu,30.5
Yeongdeungpo-gu,28
Yeongdeungpo-gu,28.3
Dongjak-gu,-40
Yeongdeungpo-gu,29
Yeongdeungpo-gu,29.3
Dongjak-gu,24.7
Dongjak-gu,27.1
Yeongdeungpo-gu,29.7
Gangbuk-gu,28.1
Gangbuk-gu,27
Gangbuk-gu,28.2
Gangbuk-gu,27.4
Yeongdeungpo-gu,28.7
Gangbuk-gu,28.6
Gangbuk-gu,27
Gangbuk-gu,27.3
Yeongdeungpo-gu,29.2
Gangbuk-gu,25.9
Gangbuk-gu,25.2
Yeongdeungpo-gu,28.5
Gangbuk-gu,28
Gangbuk-gu,26.3
Gangbuk-gu,26.2
Gangbuk-gu,27.7
Gangbuk-gu,27.8
Yongsan-gu,28.8
Gangbuk-gu,26.3
Gangbuk-gu,28.8
Gangbuk-gu,28.1
Gangbuk-gu,28.6
Gangbuk-gu,-40
Gangbuk-gu,25.8
Gangbuk-gu,27.5
Gangbuk-gu,28
Gangbuk-gu,-40
Yongsan-gu,29.1
Gangbuk-gu,25.2
Yongsan-gu,27.2
Gangbuk-gu,-40
Yongsan-gu,28.4
Gangbuk-gu,25.5
Gangbuk-gu,-40
Gangbuk-gu,-40
Yongsan-gu,29.7
Gangbuk-gu,25.7
Gangbuk-gu,-40
Yongsan-gu,29.1
Yongsan-gu,27.9
Yongsan-gu,27.7
Yongsan-gu,26.3
Yongsan-gu,26.6
Yongsan-gu,28.8
Yongsan-gu,28.1
Yongsan-gu,
Yongsan-gu,
Yongsan-gu,28.4
Yongsan-gu,28.4
Gwanak-gu,28.7
Yongsan-gu,28.2
Songpa-gu,-40
Yongsan-gu,28
Yongsan-gu,29.6
Gwanak-gu,29.3
Gwanak-gu,26.7
Yongsan-gu,
Gwanak-gu,28.3
Yongsan-gu,28.5
Gwanak-gu,
Gwanak-gu,28.6
Gwanak-gu,29.5
Gwanak-gu,27.7
Gwanak-gu,27.1
Gwanak-gu,27.7
Gwanak-gu,27.9
Gwanak-gu,28.1
Gwanak-gu,26.8
Gwanak-gu,26.9
Gwanak-gu,28.6
Gwanak-gu,
Gwanak-gu,26.5
Gwanak-gu,28.8
Gwanak-gu,28.9
Gwanak-gu,29
Gwanak-gu,27.8
Gwanak-gu,26.9
Gwanak-gu,26.1
Gwanak-gu,28.3
Jung-gu,28.5
Gwanak-gu,27.3
Eunpyeong-gu,27.6
Gwanak-gu,28
Gwanak-gu,27.1
Gwanak-gu,-40
Gwanak-gu,
Gwanak-gu,29.5
Gwanak-gu,28.7
Gwanak-gu,29.6
Gwanak-gu,28.9
Gwanak-gu,29.1
Gwanak-gu,29.3
Gwanak-gu,27.3
Gwanak-gu,28.9
Gwangjin-gu,27.5
Gwanak-gu,27.2
Gwanak-gu,26.6
Gwanak-gu,28.2
Gwanak-gu,29.4
Eunpyeong-gu,25.8
Eunpyeong-gu,28.4
Jongno-gu,28.3
Jongno-gu,28
Eunpyeong-gu,26
Eunpyeong-gu,26.1
Eunpyeong-gu,26.5
Eunpyeong-gu,29
Eunpyeong-gu,28.2
Eunpyeong-gu,27
Eunpyeong-gu,29
Gwangjin-gu,27.1
Eunpyeong-gu,26.7
Jongno-gu,30
Gwangjin-gu,27.5
Eunpyeong-gu,27.9
Gwangjin-gu,-40
Eunpyeong-gu,26
Gwangjin-gu,28.5
Eunpyeong-gu,28.6
Eunpyeong-gu,26.3
Yongsan-gu,28.4
Jongno-gu,28.6
Eunpyeong-gu,26.4
Eunpyeong-gu,26.7
Jongno-gu,28.7
Eunpyeong-gu,27.7
Eunpyeong-gu,
Jongno-gu,28.1
Jongno-gu,26.6
Eunpyeong-gu,27.3
Eunpyeong-gu,23.4
Eunpyeong-gu,27.2
Eunpyeong-gu,27.7
Eunpyeong-gu,-40
Jongno-gu,28
Eunpyeong-gu,-40
Jongno-gu,27.7
Jongno-gu,30.3
Jongno-gu,27.6
Eunpyeong-gu,26
Jongno-gu,27.8
Jongno-gu,26.2
Jongno-gu,26.2
Jungnang-gu,28.8
Jongno-gu,26.1
Jongno-gu,27
Jongno-gu,28.3
Jungnang-gu,28.8
Jongno-gu,28
Jongno-gu,27.9
Jongno-gu,28.4
Yangcheon-gu,-40
Jongno-gu,25.4
Jongno-gu,30
Jongno-gu,28.6
Jongno-gu,29.8
Jongno-gu,30.7
Jongno-gu,29.5
Jongno-gu,29
Jongno-gu,28.6
Jongno-gu,26.7
Yangcheon-gu,28.8
Jongno-gu,29.5
Jongno-gu,27.9
Jongno-gu,27.9
Yangcheon-gu,29.2
Jungnang-gu,28.3
Jongno-gu,-40
Jongno-gu,28.3
Jongno-gu,-40
Yangcheon-gu,29
Jongno-gu,27.6
Jongno-gu,27.1
Jungnang-gu,28.2
Jongno-gu,26.4
Jongno-gu,28.6
Yangcheon-gu,26.5
Yangcheon-gu,28.4
Jongno-gu,
Jungnang-gu,27.8
Jungnang-gu,27.8
Yangcheon-gu,29
Jongno-gu,26.3
Jongno-gu,28
Yangcheon-gu,29
Jongno-gu,28.2
Jongno-gu,26.9
Jungnang-gu,28.8
Jongno-gu,27
Yangcheon-gu,29
Jongno-gu,
Gangdong-gu,27.8
Yangcheon-gu,29.5
Jungnang-gu,28.6
Yangcheon-gu,29
Gangdong-gu,28.4
Gangdong-gu,28
Gangdong-gu,28.2
Jungnang-gu,28.8
Gangdong-gu,27.8
Jungnang-gu,28.3
Yangcheon-gu,27
Yangcheon-gu,27.8
Jungnang-gu,28.3
Gangdong-gu,27.2
Gangdong-gu,27.8
Gangdong-gu,27.3
Yangcheon-gu,-40
Gangdong-gu,28.5
Gangdong-gu,27.9
Gangdong-gu,28.2
Nowon-gu,25.7
Guro-gu,-40
Gangdong-gu,25.6
Geumcheon-gu,27.6
Gangdong-gu,26.8
Gangdong-gu,
Gangdong-gu,
Gangdong-gu,28.2
Gangdong-gu,
Dobong-gu,28.1
Gangdong-gu,28
Guro-gu,28.1
Gangdong-gu,26.9
Guro-gu,-40
Guro-gu,28.4
Geumcheon-gu,28.5
Geumcheon-gu,27.9
Guro-gu,28.7
Geumcheon-gu,28.3
Guro-gu,-40
Guro-gu,27.9
Gangdong-gu,27.7
Geumcheon-gu,28.9
Guro-gu,
Guro-gu,29.1
Geumcheon-gu,28.5
Dobong-gu,27.2
Geumcheon-gu,29
Gangdong-gu,28.5
Gangdong-gu,28.4
Geumcheon-gu,29.1
Dobong-gu,-40
Dobong-gu,23.7
Dobong-gu,-40
Geumcheon-gu,27.7
Geumcheon-gu,27.2
Geumcheon-gu,25.7
Nowon-gu,27.1
Geumcheon-gu,28.8
Geumcheon-gu,28.7
Geumcheon-gu,27.9
Geumcheon-gu,30.2
Geumcheon-gu,27.1
Nowon-gu,28.9
Geumcheon-gu,27.4
Yangcheon-gu,-40
Gwanak-gu,28.6
Geumcheon-gu,28.5
Geumcheon-gu,26
Geumcheon-gu,27.5
Nowon-gu,27.4
Geumcheon-gu,28.1
Geumcheon-gu,28.5
Gangdong-gu,
Nowon-gu,28.2
Nowon-gu,26.4
Dobong-gu,27.1
Nowon-gu,26.1
Nowon-gu,27.5
Nowon-gu,28.3
Nowon-gu,25.1
Dobong-gu,24.6
Nowon-gu,27.6
Nowon-gu,26.5
Nowon-gu,26.9
Nowon-gu,26
Nowon-gu,26.7
Nowon-gu,24.1
Nowon-gu,27.4
Nowon-gu,28
Nowon-gu,28
Nowon-gu,26.8
Dobong-gu,-40
Dobong-gu,-40
Dobong-gu,-40
Dobong-gu,27.2
Dobong-gu,26.7
Gwanak-gu,28.6
Dobong-gu,27.8
Dobong-gu,25.7
Gangdong-gu,
Gangseo-gu,-40
Dobong-gu,26.7
Dobong-gu,18
Gangdong-gu,27.3
Dobong-gu,19.5
Gangdong-gu,27.1
Dobong-gu,24.7
Gangdong-gu,26.7
Gangseo-gu,-40
Dobong-gu,26.6
Gangseo-gu,-40
Gangseo-gu,
Gangseo-gu,25.9
Gangseo-gu,26.9
Gangdong-gu,-40
Gangdong-gu,-40
Gangdong-gu,27.5
Gangseo-gu,
Gangdong-gu,27.6
Gangseo-gu,-40
Gangseo-gu,28.9
Gangdong-gu,27.7
Gangseo-gu,28.5
Gangdong-gu,27.8
Gangseo-gu,
Gwanak-gu,30
Gangdong-gu,28.5
Gangdong-gu,27.6
Gangdong-gu,27.2
Gangdong-gu,27.5
Gangdong-gu,27.6
Gangdong-gu,27.1
Nowon-gu,27.2
Gangseo-gu,27.6
Gangseo-gu,28.6
Dobong-gu,28.3
Gangseo-gu,28.5
Gangseo-gu,-40
Gangseo-gu,27.6
Gangseo-gu,-40
Gangseo-gu,-40
Gangseo-gu,-40
Gangseo-gu,26.4
Gangseo-gu,-40
Gwanak-gu,27.7
Gangseo-gu,25.9
Gangseo-gu,-40
Gangseo-gu,28.9
Gangseo-gu,27.2
Gangseo-gu,27.9
Gangseo-gu,27.6
Gwanak-gu,28.4
Gwanak-gu,27.4
Gangseo-gu,28.3
Gwanak-gu,26.4
Gwanak-gu,29
Gwanak-gu,
Gwanak-gu,27.7
Gwanak-gu,28.2
Gwanak-gu,26.6
Gwanak-gu,26.8
Gwanak-gu,27.8
Gwanak-gu,27.3
Gwanak-gu,
Gwanak-gu,27.1
Gwanak-gu,27.8
Gwanak-gu,28.8
Gwanak-gu,27.4
Gwanak-gu,29
Nowon-gu,-40
Nowon-gu,27.6
Nowon-gu,24.5
Nowon-gu,28.2
Gwanak-gu,28.4
Nowon-gu,27.5
Gwanak-gu,25.7
Nowon-gu,27.7
Nowon-gu,27.5
Nowon-gu,24.9
Nowon-gu,27
Gwanak-gu,
Gwanak-gu,28.6
Nowon-gu,27.6
Nowon-gu,26.2
Gwanak-gu,30.3
Gwanak-gu,26.4
Nowon-gu,27.3
Gangdong-gu,-40
